,Estimate,Std.err.,t-ratio(0),Rob.std.err.,Rob.t-ratio(0)
b_Price,-0.065961032,0.001307143,-50.46198047,0.003217396,-20.50137512
b_Acceleration,-0.086724325,0.008042629,-10.78308115,0.014808111,-5.856542291
b_OpCost,-0.123458989,0.005274322,-23.40755769,0.00981642,-12.57678382
b_hev,0.078787462,0.052734078,1.494052128,0.089601506,0.879309571
b_phev20,0.017337116,0.052378125,0.330999177,0.087156684,0.198918954
b_phev40,0.133321046,0.052249979,2.551600003,0.084941817,1.569557267
b_bev,-0.225292786,0.047040317,-4.789355205,0.101346902,-2.222986411
b_bevRangeRel,0.305755872,0.016563644,18.45945703,0.034047822,8.980188929
b_noBEVFC,-0.261643415,0.039058057,-6.698833314,0.057126135,-4.580100076
b_american,-0.113318709,0.041808223,-2.710440686,0.073687035,-1.537837808
b_chinese,-1.203619405,0.045280532,-26.5813882,0.098262295,-12.24904629
b_japanese,-0.05776064,0.041362946,-1.39643437,0.077927054,-0.741214215
b_skorean,-0.392742187,0.041945575,-9.36313762,0.07292323,-5.385693826
