"model","tot_elapsed","est_timeEst","est_successful","est_code","est_message","est_LL","est_AIC","est_BIC","ms_n_points","ms_n_best","ms_n_within_tol","ms_did_best_conv","cv_in_avgObsLL","cv_out_avgObsLL","cv_pctDiff_avgObsLL","cv_std_pctDiff","cv_in_avgObsL","cv_out_avgObsL","cv_pctDiff_avgObsL","cv_cpuSec_val","psi_prime_mean_all","psi_prime_mean_chosen","time_per_call_1core","time_per_call_2core","time_per_call_4core","ram_mb_1core","ram_mb_2core","ram_mb_4core","psi_prime_ICE_small","psi_prime_PHEV_small","psi_prime_BEV_small","psi_prime_small_avg","psi_prime_ICE_big","psi_prime_PHEV_big","psi_prime_BEV_big","psi_prime_big_avg","feval_cpu_sec_small","feval_cpu_sec_big","model_name","source_file"
"CNL_CNL_pref",1897.7458589077,73.9950006008148,TRUE,0,"successful convergence",-9285.91618505458,18603.8323701092,18720.7373177846,101,54,94,TRUE,-0.840373611654397,-0.859154034877091,2.43280725922867,11.2686620951968,0.431608504461414,0.424410336125162,1.53963582254678,0.0254000000000104,0.107321544656373,0.118572620345141,0.35538022518158,0.780986046791077,0.718956646919251,965.5,1342.1,1707,0.08469,0.08169,0.21211,0.126163333333333,0.00114,0.00106,0.00233,0.00151,3.18500000000002,19.755,"CNL_CNL_pref","logs/job_35887057/CNL_CNL_pref/model_summary.csv"
"LCL2_CNL_pref",11322.6074347496,282.998155355453,TRUE,0,"successful convergence",-8832.70663065179,17731.4132613036,17972.5297158842,98,3,67,TRUE,-0.799190741258168,-0.822437311834576,3.11152319427301,11.3895172116311,0.449750199859963,0.440200718472017,2.00604237055906,0.039399999999992,0.208227771419921,0.222028622161671,0.954888744354248,0.582869462966919,0.864463438987732,966.5,1297.1,1615.7,0.19125,0.08888,0.29127,0.190466666666667,0.00257,0.00113,0.00322,0.00230666666666667,6.34000000000002,37.799,"LCL2_CNL_pref","logs/job_35887057/LCL2_CNL_pref/model_summary.csv"
"LCL2_NL_pref",8524.57831406593,342.134201526642,TRUE,0,"successful convergence",-8844.92083962881,17755.8416792576,17996.9581338383,100,41,78,TRUE,-0.8005432842372,-0.82137288504163,2.81019441108221,11.6253605984462,0.449143109590642,0.440712652130918,1.7561088409859,0.0420000000000122,0.247553392673327,0.259965604904632,0.824160571098328,0.911389603614807,0.831113591194153,966.4,1297.2,1616.2,0.32116,0.46893,0.29323,0.361106666666667,0.00367,0.00726,0.0033,0.00474333333333333,6.75999999999998,9.868,"LCL2_NL_pref","logs/job_35887057/LCL2_NL_pref/model_summary.csv"
"LCL2_none_pref",2742.20021939278,142.101340532303,TRUE,0,"successful convergence",-8907.04944701369,17868.0988940274,18065.3759932297,101,47,90,TRUE,-0.806785471783524,-0.825559617719462,2.52619632415978,11.256009662458,0.446347774267347,0.438828038244071,1.56635765111375,0.0188000000000031,0.0686417614290039,0.0680871952770209,0.304514286518097,0.550753190517426,0.514842391014099,953.8,1331.9,1698.2,0.02789,0.00131,0.0241,0.0177666666666667,0.00034,2e-05,0.00027,0.00021,3.47499999999999,3.87399999999999,"LCL2_none_pref","logs/job_35887057/LCL2_none_pref/model_summary.csv"
"LCL4_CNL_pref",59734.2767453194,1411.23885297775,TRUE,0,"successful convergence",-8243.61462735112,16621.2292547022,17110.7687230933,97,1,44,TRUE,-0.747521096196233,-0.767780606144124,2.93159837061449,11.9975205805374,0.473595745388092,0.46490791241849,1.72240590871102,0.0626000000000545,0.268012714501968,0.291360276112625,1.53152732133865,1.01898754119873,0.863925309181213,969.7,1300.2,1618.9,0.37298,0.15924,0.30081,0.277676666666667,0.0065,0.00186,0.00496,0.00444,11.3910000000002,72.5769999999999,"LCL4_CNL_pref","logs/job_35887057/LCL4_CNL_pref/model_summary.csv"
"LCL4_NL_pref",31685.1014556885,1433.09548592567,TRUE,0,"successful convergence",-8252.14269582094,16638.2853916419,17127.8248600329,93,18,71,TRUE,-0.747800345096096,-0.772756676194011,3.56360417485744,12.1383806497831,0.473464696864634,0.462616013932907,2.17763073629725,0.0663999999999959,0.290426408719346,0.311468086285195,1.3310365819931,0.906338865756989,0.789553980827332,969.5,1300.3,1619.1,0.37098,0.44164,0.28293,0.365183333333333,0.00495,0.0078,0.00521,0.00598666666666667,12.253,18.304,"LCL4_NL_pref","logs/job_35887057/LCL4_NL_pref/model_summary.csv"
"LCL4_none_pref",9378.3708293438,539.937777042389,TRUE,0,"successful convergence",-8306.06072408299,16722.121448166,17123.9822058004,101,22,85,TRUE,-0.753179707813225,-0.773471282114275,2.90410697935904,11.6594952355238,0.470921504014785,0.462238505635607,1.7354048893013,0.02259999999999,0.172710148955495,0.176601121707539,0.390682165622711,0.596146972179413,0.557196907997131,955,1333.4,1699.7,0.1384,0.00606,0.21323,0.11923,0.00159,7e-05,0.00241,0.00135666666666667,7.18399999999995,7.34699999999999,"LCL4_none_pref","logs/job_35887057/LCL4_none_pref/model_summary.csv"
"LCL6_CNL_pref",140784.333115101,2370.55326747894,TRUE,0,"successful convergence",-7980.7137010003,16163.4274020006,16901.389884202,98,1,1,TRUE,-0.723696467143657,NA,NA,NA,0.485002250817665,NA,NA,0.0938000000000272,0.299251119588253,0.31346178746594,2.46835119485855,2.04409861564636,1.75378476142883,973,1303.5,1622.2,0.37614,0.19636,0.3683,0.3136,0.00747,0.00185,0.00528,0.00486666666666667,19.259,117.51,"LCL6_CNL_pref","logs/job_35887057/LCL6_CNL_pref/model_summary.csv"
"LCL6_NL_pref",88341.7480535507,3431.13653826714,TRUE,0,"successful convergence",-7988.48028933339,16178.9605786668,16916.9230608682,93,2,2,TRUE,-0.724617350204114,-0.755164184660327,4.41231638492149,12.0931573922836,0.484552452451765,0.470826022451848,2.74015526885824,0.131999999999999,0.333177647593097,0.345150421435059,2.33029366016388,1.9607447218895,1.83266167402267,972.7,1303.8,1622.9,0.40517,0.48252,0.35887,0.41552,0.0062,0.00811,0.00615,0.00682,22.8930000000001,32.552,"LCL6_NL_pref","logs/job_35887057/LCL6_NL_pref/model_summary.csv"
"LCL6_none_pref",21274.500749588,1113.92972064018,TRUE,0,"successful convergence",-8056.60243754092,16279.2048750818,16885.6492911483,101,3,7,TRUE,-0.730564933793046,-0.76113738757077,4.35705062932271,10.6176887002303,0.481680117258229,0.467796350475622,2.79930436373456,0.0278000000000048,0.229100538298517,0.23040161489555,0.457882764339447,0.657442383766174,0.616575508117676,956.2,1334.6,1701.1,0.22933,0.07951,0.27688,0.19524,0.0029,0.00089,0.00337,0.00238666666666667,12.3819999999998,11.9269999999999,"LCL6_none_pref","logs/job_35887057/LCL6_none_pref/model_summary.csv"
"LCL8_none_pref",36836.4071042538,1509.50436902046,TRUE,0,"successful convergence",-7847.66341855796,15917.3268371159,16728.3549116145,101,1,3,TRUE,-0.709142906885347,-0.75780283665436,7.07776541543669,12.517948199173,0.492112206958276,0.469587356750635,4.48196609780268,0.025799999999964,0.270752336663639,0.271680558583106,0.467862913608551,0.653819451332092,0.592143573760986,957.8,1336.3,1702.8,0.27081,0.12089,0.36341,0.251703333333333,0.00344,0.00125,0.00462,0.00310333333333333,10.1860000000001,11.7149999999999,"LCL8_none_pref","logs/job_35887057/LCL8_none_pref/model_summary.csv"
"MNL_none_pref",963.283071994781,11.2820010185242,TRUE,0,"successful convergence",-9336.048053076,18698.096106152,18793.0813761383,101,101,101,TRUE,-0.845255278274631,-0.862082688554216,2.17977116092047,10.9877723063237,0.429504810738948,0.423138936347264,1.35774650637286,0.0170000000000034,0,0,0.049799919128418,0.454230036735535,0.46241466999054,951.7,1325.1,1686.8,0,0,0,0,0,0,0,0,2.02300000000001,1.84299999999998,"MNL_none_pref","logs/job_35887057/MNL_none_pref/model_summary.csv"
"MXL100_none_pref",29429.6263575554,254.742621183395,TRUE,0,"successful convergence",-8100.44355533176,16252.8871106635,16442.8576506362,101,3,3,TRUE,-0.740663175644656,-0.757000757705473,2.40350615148177,11.4143440163487,0.476847190742937,0.469860239117016,1.36613293018333,0.155799999999998,0.370178454132607,0.354318576748411,2.0778848862648,1.97685967922211,1.14232753515244,1280.4,2242.5,3075.2,0.163,0.10604,0.34811,0.205716666666667,0.00184,0.00119,0.00464,0.00255666666666667,1.67900000000003,10.681,"MXL100_none_pref","logs/job_35887057/MXL100_none_pref/model_summary.csv"
"MXL100_none_wtp",15421.6130509377,196.998159170151,TRUE,0,"successful convergence",-8338.31887450841,16728.6377490168,16918.6082889894,101,1,3,TRUE,-0.757957807438097,-0.777610619119668,2.79492683356385,11.8240541922746,0.468672312626563,0.460392474873299,1.66092408792231,0.155599999999995,0.312842766273085,0.30972078746594,2.08100010156631,1.96579002141953,1.18584492683411,1280.3,2242.4,3075.1,0.15874,0.13881,0.33782,0.21179,0.00188,0.00159,0.00414,0.00253666666666667,1.93,14.869,"MXL100_none_wtp","logs/job_35887057/MXL100_none_wtp/model_summary.csv"
"NL_NL_pref",1652.050355196,73.2810525894165,TRUE,0,"successful convergence",-9282.27832110335,18596.5566422067,18713.4615898822,101,101,101,TRUE,-0.840242975335248,-0.858147721473129,2.33003511996873,11.3192529706083,0.431665015326392,0.424843963954317,1.45161368771655,0.0263999999999992,0.156457806842265,0.169236329700272,0.341794099807739,0.733392853736877,0.68262770652771,965.4,1342.3,1707.3,0.25492,0.41483,0.19261,0.287453333333333,0.0031,0.00652,0.00202,0.00388,3.30599999999998,4.986,"NL_NL_pref","logs/job_35887057/NL_NL_pref/model_summary.csv"
