"Model","Log-Likelihood","AIC","BIC","Multi-Start: n_feasible","Multi-Start: n_best_x","Multi-Start: n_best_f"
"MNL",-9336,18698.1,18793.1,101,101,101
"NL",-9282.3,18596.6,18713.5,101,101,101
"CNL",-9285.9,18603.8,18720.7,101,54,94
"LCL (2 cl.)",-8907,17868.1,18065.4,101,47,90
"LC-NL (2 cl.)",-8844.9,17755.8,17997,100,41,78
"LC-CNL (2 cl.)",-8832.7,17731.4,17972.5,98,3,67
"LCL (4 cl.)",-8306.1,16722.1,17124,101,22,85
"LC-NL (4 cl.)",-8252.1,16638.3,17127.8,93,18,71
"LC-CNL (4 cl.)",-8243.6,16621.2,17110.8,97,1,44
"LCL (6 cl.)",-8056.6,16279.2,16885.6,101,3,7
"LC-NL (6 cl.)",-7988.5,16179,16916.9,93,2,2
"LC-CNL (6 cl.)",-7980.7,16163.4,16901.4,98,1,1
"LCL (8 cl.)",-7847.7,15917.3,16728.4,101,1,3
"LC-NL (8 cl.)",-7784.9,15839.8,16826.2,91,1,2
"LC-CNL (8 cl.)",-7775.3,15820.7,16807.1,97,1,1
"MXL (Pref, 100 dr.)",-8100.4,16252.9,16442.9,101,3,3
"MXL (Pref, 500 dr.)",-8037.6,16127.3,16317.2,101,3,3
"MXL (Pref, 1k dr.)",-7994.4,16040.9,16230.8,101,3,3
"MXL (WTP, 100 dr.)",-8338.3,16728.6,16918.6,101,1,3
"MXL (WTP, 500 dr.)",-8297,16646.1,16836,101,1,3
"MXL (WTP, 1k dr.)",-8264.4,16580.7,16770.7,101,1,3
