"Model","Multi-Start","Estimation","Cross-Validation","Substitution Invariance","Function Time","Total"
"MNL",1.2,2.4,10.3,0.1,2,16
"NL",7.5,3.9,12.6,0,3.3,27.4
"CNL",10.8,4,12.9,0,3.5,31.2
"LCL (2 cl.)",17.3,6.8,18.7,0,2.7,45.6
"LC-NL (2 cl.)",95.5,14.1,27.6,0,4.6,141.8
"LC-CNL (2 cl.)",144.2,11.1,28.3,0,4.3,187.9
"LCL (4 cl.)",79.1,24.5,49.4,0.1,3,156
"LC-NL (4 cl.)",340.9,62.1,119.2,0,5.3,527.6
"LC-CNL (4 cl.)",713.5,57,217.7,0,6,994.1
"LCL (6 cl.)",194.9,49.8,106,0.1,3.4,354.1
"LC-NL (6 cl.)",1027.3,154.9,278.7,0.1,10.6,1471.4
"LC-CNL (6 cl.)",1914.9,121.1,297.2,0.1,10.8,2344
"LCL (8 cl.)",387.3,74.7,148.3,0,3.2,613.6
"LC-NL (8 cl.)",924,221.6,152.5,0.1,10.2,1308.5
"LC-CNL (8 cl.)",2070.8,232.7,277.3,0.1,11.5,2592.3
"MXL (Pref, 100 dr.)",441.7,10.4,28.6,0.1,9.5,490.3
"MXL (Pref, 500 dr.)",589.5,57.5,115.3,0.4,59.9,822.5
"MXL (Pref, 1k dr.)",349.1,107.5,170.6,0.4,87,714.7
"MXL (WTP, 100 dr.)",210.5,9.4,27.2,0.1,9.6,256.7
"MXL (WTP, 500 dr.)",224.6,53.9,89,0.2,43.6,411.3
"MXL (WTP, 1k dr.)",202.7,86.9,130.7,0.4,76.3,496.9
